news
"3M India Standalone March 2020 Net Sales at Rs 627.21 crore, down 9% Y-o-Y"
Hold Aarti Industries; target of Rs 968: East India Securities
Accumulate Aarti Industries; target of Rs 1024: Prabhudas Lilladher
"India Opportunities Growth Fund sells more shares in Aarey Drugs, Smallcap World Fund offloads big stake in Aarti Industries"
Smallcap World Fund sells Aarti Industries shares worth Rs 222 crore
"Aarti Industries shares tumble 6% on termination of contract worth Rs 4,000 crore"
"Aarti Industries' Rs 4,000 crore contract with global firm cancelled"
Buy Aarti Industries; target of Rs 1151: Geojit
Hold Aarti Industries; target of Rs 1002: East India Securities
"Aarti Ind Standalone March 2020 Net Sales at Rs 1,019.96 crore, down 15.81% Y-o-Y"
Accumulate Aarti Industries; target of Rs 992: Prabhudas Lilladher
Aarti Industries Q4: Near-term uncertainty leads to capex deferral
"Aarti Ind Consolidated March 2020 Net Sales at Rs 1,076.15 crore, down 15.87% Y-o-Y"
Aarti Industries: Well-positioned to capture shift in chemical supply chain
"Ideas for Profit | Aarti Industries to gain from India’s ascent in chemical supply chain, accumulate on dips"
Analysts suggest these 15 quality mid-caps for 1-year investment horizon
"AAVAS Financier Standalone December 2019 Net Sales at Rs 239.30 crore, up 22.81% Y-o-Y"
Aavas Financiers raises Rs 444cr in debt from ADB; to use fund for on-lending to women
Hold ACC; target of Rs 1450: ICICI Direct
Buy ACC; target of Rs 1610: HDFC Securities
Buy ACC; target of Rs 1760: Dolat Capital
Buy ACC; target of Rs 1532: YES Securities
Accumulate ACC; target of Rs 1457: Arihant Capital
Buy ACC; target of Rs 1505: Prabhudas Lilladher
"ACC share price gains 7% post Q2 numbers; CLSA, Jefferies raise target"
The worst may be over for ACC
"ACC Consolidated June 2020 Net Sales at Rs 2,602.24 crore, down 37.29% Y-o-Y"
"ACC profit drops 40.5% to Rs 270.95 crore in April-June, sales down 37.2% "
Buy ACC; target of Rs 1380: ICICI Direct
ACC has the ability and cash to ride out this storm
"ACC to report earnings today; Q1 profit, revenue expected to fall 10%"
"Hot Stocks | Here's why ACC, Shree Cement are a buy in the short term"
Hot Stocks | Why HUL could be a good bet for short term with 14% upside
"Hot Stocks | Here's why Shree Cement, ACC can give up to 12% return in short-term"
"Brokerages retain 'buy' on ACC after Q1 numbers, COVID-19 to hit CY20 earnings"
"ACC share price dips 3% ahead of Q1 earnings, Morgan Stanley remains bearish"
Trade Setup for Tuesday: Top 15 things to know before Opening Bell
"'ACC, Cipla & HDFC Life are a good buy for medium term'"
"Adani Enterpris Consolidated March 2020 Net Sales at Rs 13,428.83 crore, up 1.45% Y-o-Y"
"Adani Enterpris Consolidated March 2020 Net Sales at Rs 13,428.83 crore, up 1.45% Y-o-Y"
"Adani Enterpris Consolidated December 2019 Net Sales at Rs 10,948.17 crore, up 4.97% Y-o-Y"
Buy Adani Ports and Special Economic Zone; target of Rs 360: Dolat Capital
"Adani Ports Consolidated March 2020 Net Sales at Rs 2,921.19 crore, down 5.23% Y-o-Y"
"Adani Ports Consolidated March 2020 Net Sales at Rs 2,921.19 crore, down 5.23% Y-o-Y"
Buy Adani Ports and Special Economic Zone; target of Rs 360: Dolat Capital
"Adani Ports Consolidated March 2020 Net Sales at Rs 2,921.19 crore, down 5.23% Y-o-Y"
"Adani Ports Consolidated December 2019 Net Sales at Rs 3,336.25 crore, up 18.14% Y-o-Y"
"Adani Ports Standalone December 2019 Net Sales at Rs 1,182.76 crore, down 18.86% Y-o-Y"
"Adani Ports Consolidated December 2019 Net Sales at Rs 3,336.25 crore, up 18.14% Y-o-Y"
Adani Ports on way to handling 400 MT cargo by 2025: CEO Karan Adani
Adani Ports raises Rs 100 crore through NCDs
Adani Ports & SEZ raises Rs 500 crore through allotment of NCDs
Adani Ports share price rises 3% post weak Q4 result; Morgan Stanley remains overweight
Adani Ports Q4 net profit falls 74% to Rs 340.41 crore
Operations at three ports run by India's Adani disrupted: Sources
"Coronavirus pandemic | Some Indian ports declare force majeure, could delay crude discharge: Sources"
